ID State,State,ID Year,Year,Population,Slug State
04000US10,Delaware,2017,2017,961939,delaware
04000US11,District of Columbia,2017,2017,693972,district-of-columbia
04000US12,Florida,2017,2017,20984400,florida
04000US13,Georgia,2017,2017,10429379,georgia
04000US15,Hawaii,2017,2017,1427538,hawaii
04000US16,Idaho,2017,2017,1716943,idaho
04000US17,Illinois,2017,2017,12802023,illinois
04000US18,Indiana,2017,2017,6666818,indiana
04000US19,Iowa,2017,2017,3145711,iowa
04000US20,Kansas,2017,2017,2913123,kansas
04000US21,Kentucky,2017,2017,4454189,kentucky
04000US22,Louisiana,2017,2017,4684333,louisiana
04000US23,Maine,2017,2017,1335907,maine
04000US24,Maryland,2017,2017,6052177,maryland
04000US25,Massachusetts,2017,2017,6859819,massachusetts
04000US26,Michigan,2017,2017,9962311,michigan
04000US27,Minnesota,2017,2017,5576606,minnesota
04000US28,Mississippi,2017,2017,2984100,mississippi
04000US29,Missouri,2017,2017,6113532,missouri
04000US30,Montana,2017,2017,1050493,montana
04000US31,Nebraska,2017,2017,1920076,nebraska
04000US32,Nevada,2017,2017,2998039,nevada
04000US33,New Hampshire,2017,2017,1342795,new-hampshire
04000US34,New Jersey,2017,2017,9005644,new-jersey
04000US35,New Mexico,2017,2017,2088070,new-mexico
04000US36,New York,2017,2017,19849399,new-york
04000US37,North Carolina,2017,2017,10273419,north-carolina
04000US38,North Dakota,2017,2017,755393,north-dakota
04000US39,Ohio,2017,2017,11658609,ohio
04000US40,Oklahoma,2017,2017,3930864,oklahoma
04000US41,Oregon,2017,2017,4142776,oregon
04000US42,Pennsylvania,2017,2017,12805537,pennsylvania
04000US44,Rhode Island,2017,2017,1059639,rhode-island
04000US45,South Carolina,2017,2017,5024369,south-carolina
04000US46,South Dakota,2017,2017,869666,south-dakota
04000US47,Tennessee,2017,2017,6715984,tennessee
04000US48,Texas,2017,2017,28304596,texas
04000US49,Utah,2017,2017,3101833,utah
04000US50,Vermont,2017,2017,623657,vermont
04000US51,Virginia,2017,2017,8470020,virginia
04000US53,Washington,2017,2017,7405743,washington
04000US54,West Virginia,2017,2017,1815857,west-virginia
04000US55,Wisconsin,2017,2017,5795483,wisconsin
04000US56,Wyoming,2017,2017,579315,wyoming
04000US72,Puerto Rico,2017,2017,3337177,puerto-rico
04000US01,Alabama,2016,2016,4863300,alabama
04000US02,Alaska,2016,2016,741894,alaska
04000US04,Arizona,2016,2016,6931071,arizona
04000US05,Arkansas,2016,2016,2988248,arkansas
04000US06,California,2016,2016,39250017,california
04000US08,Colorado,2016,2016,5540545,colorado
04000US09,Connecticut,2016,2016,3576452,connecticut
04000US10,Delaware,2016,2016,952065,delaware
04000US11,District of Columbia,2016,2016,681170,district-of-columbia
04000US12,Florida,2016,2016,20612439,florida
04000US13,Georgia,2016,2016,10310371,georgia
04000US15,Hawaii,2016,2016,1428557,hawaii
04000US16,Idaho,2016,2016,1683140,idaho
04000US17,Illinois,2016,2016,12801539,illinois
04000US18,Indiana,2016,2016,6633053,indiana
04000US19,Iowa,2016,2016,3134693,iowa
04000US20,Kansas,2016,2016,2907289,kansas
04000US21,Kentucky,2016,2016,4436974,kentucky
04000US22,Louisiana,2016,2016,4681666,louisiana
04000US23,Maine,2016,2016,1331479,maine
04000US24,Maryland,2016,2016,6016447,maryland
04000US25,Massachusetts,2016,2016,6811779,massachusetts
04000US26,Michigan,2016,2016,9928300,michigan
04000US27,Minnesota,2016,2016,5519952,minnesota
04000US28,Mississippi,2016,2016,2988726,mississippi
04000US29,Missouri,2016,2016,6093000,missouri
04000US30,Montana,2016,2016,1042520,montana
04000US31,Nebraska,2016,2016,1907116,nebraska
04000US32,Nevada,2016,2016,2940058,nevada
04000US33,New Hampshire,2016,2016,1334795,new-hampshire
04000US34,New Jersey,2016,2016,8944469,new-jersey
04000US35,New Mexico,2016,2016,2081015,new-mexico
04000US36,New York,2016,2016,19745289,new-york
04000US37,North Carolina,2016,2016,10146788,north-carolina
04000US38,North Dakota,2016,2016,757953,north-dakota
04000US39,Ohio,2016,2016,11614373,ohio
04000US40,Oklahoma,2016,2016,3923561,oklahoma
04000US41,Oregon,2016,2016,4093465,oregon
04000US42,Pennsylvania,2016,2016,12784227,pennsylvania
04000US44,Rhode Island,2016,2016,1056426,rhode-island
04000US45,South Carolina,2016,2016,4961119,south-carolina
04000US46,South Dakota,2016,2016,865454,south-dakota
04000US47,Tennessee,2016,2016,6651194,tennessee
04000US48,Texas,2016,2016,27862596,texas
04000US49,Utah,2016,2016,3051217,utah
04000US50,Vermont,2016,2016,624594,vermont
04000US51,Virginia,2016,2016,8411808,virginia
04000US53,Washington,2016,2016,7288000,washington
04000US54,West Virginia,2016,2016,1831102,west-virginia
04000US55,Wisconsin,2016,2016,5778709,wisconsin
04000US56,Wyoming,2016,2016,585501,wyoming
04000US72,Puerto Rico,2016,2016,3411307,puerto-rico
04000US01,Alabama,2015,2015,4858979,alabama
04000US02,Alaska,2015,2015,738432,alaska
04000US04,Arizona,2015,2015,6828065,arizona
04000US05,Arkansas,2015,2015,2978204,arkansas
04000US06,California,2015,2015,39144818,california
04000US08,Colorado,2015,2015,5456574,colorado
04000US09,Connecticut,2015,2015,3590886,connecticut
04000US10,Delaware,2015,2015,945934,delaware
04000US11,District of Columbia,2015,2015,672228,district-of-columbia
04000US12,Florida,2015,2015,20271272,florida
04000US13,Georgia,2015,2015,10214860,georgia
04000US15,Hawaii,2015,2015,1431603,hawaii
04000US16,Idaho,2015,2015,1654930,idaho
04000US17,Illinois,2015,2015,12859995,illinois
